Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg, Exchange
Honeywell International, HON, 160.6, 161.89, 159.67, 161.84, 1.87, 1.17, 3594732, 161.89, 117.12, 2.98, 1.84, 24.52, 5.53, NYSE
Just Energy Group, JE, 4.3, 4.37, 4.3, 4.34, 0.05, 1.17, 145252, 6.35, 4.0, 0.39, 9.05, 8.02, 1.17, NYSE
Telecom Italia ADR, TIA, 7.71, 7.8, 7.64, 7.8, 0.09, 1.17, 10327, 8.66, 6.27, 0.31, 3.92, 0.0, 8.18, NYSE
Zoetis, ZTS, 78.47, 79.38, 78.34, 79.25, 0.92, 1.17, 2223513, 79.38, 52.0, 0.5, 0.64, 44.77, 10.01, NYSE
BioSpecifics Technologies, BSTC, 43.57, 44.07, 43.57, 44.0, 0.51, 1.17, 8191, 58.79, 41.95, 0.0, 0.0, 27.67, 1.55, NASDAQ Global
Cboe Global Markets, CBOE, 136.38, 137.43, 135.26, 137.16, 1.59, 1.17, 775684, 137.43, 76.75, 1.08, 0.79, 74.54, 10.09, NASDAQ Global
Exponent, EXPO, 73.0, 73.65, 72.4, 73.6, 0.85, 1.17, 53962, 77.15, 55.75, 0.84, 1.14, 35.9, 3.52, NASDAQ Global
Perficient, PRFT, 19.8, 19.99, 19.64, 19.96, 0.23, 1.17, 215245, 20.22, 16.2, 0.0, 0.0, 42.47, 4.67, NASDAQ Global
Senior Housing Properties Trust, SNH, 17.93, 18.12, 17.86, 18.1, 0.21, 1.17, 1126437, 22.52, 17.53, 1.56, 8.62, 33.95, -5.48, NASDAQ Global
Western Digital, WDC, 88.18, 89.84, 87.64, 87.99, 1.02, 1.17, 6673359, 95.77, 71.38, 2.0, 2.27, 18.37, 10.64, NASDAQ Global
Celcuity, CELC, 19.25, 19.8, 19.05, 19.23, 0.22, 1.16, 43067, 22.73, 11.1, 0.0, 0.0, 0.0, 1.48, NASDAQ Capital
AT&T, T, 37.09, 37.45, 36.84, 37.45, 0.43, 1.16, 21224623, 42.7, 32.55, 2.0, 5.34, 18.09, -3.68, NYSE
Bemis, BMS, 46.5, 47.24, 46.43, 47.09, 0.54, 1.16, 542431, 50.6, 40.6, 1.2, 2.55, 22.42, -1.46, NYSE
Cambrex, CBM, 55.95, 56.65, 55.38, 56.45, 0.65, 1.16, 309347, 62.95, 42.55, 0.0, 0.0, 18.82, 17.6, NYSE
Edwards Lifesciences, EW, 125.68, 127.03, 125.38, 126.24, 1.45, 1.16, 1168944, 127.03, 86.55, 0.0, 0.0, 36.7, 12.0, NYSE
Jumei International Holding ADR, JMEI, 3.45, 3.5, 3.41, 3.49, 0.04, 1.16, 1598260, 4.53, 2.0, 0.0, 0.0, 38.56, 19.52, NYSE
Aware, AWRE, 4.35, 4.4, 4.3, 4.35, 0.05, 1.16, 7217, 6.5, 4.25, 0.0, 0.0, 39.55, -3.33, NASDAQ Global
Griffin Industrial Realty, GRIF, 37.43, 37.43, 37.43, 37.43, 0.43, 1.16, 270, 37.45, 27.71, 0.4, 1.07, 29.47, 1.99, NASDAQ Global
