Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange,Date,Time
Patriot Transportation Holding, PATI,20.1,20.5,19,19.01,-0.75,-3.78,73457,24.51,16.72,0,0,13.88,9.38, NASDAQ Global,2/15/2018,11:40:00
Abeona Therapeutics, ABEO,11.7,12.24,11,11.45,-0.45,-3.78,1782172,22.75,4.55,0,0,0,-27.76, NASDAQ Capital,2/15/2018,11:40:00
Spark Energy, SPKE,10.45,10.7,10.1,10.15,-0.4,-3.79,141860,23.65,9.2,0.73,7.14,11.6,-18.15, NASDAQ Global,2/15/2018,11:40:00
Lightbridge, LTBR,1.55,1.63,1.52,1.52,-0.06,-3.8,1856363,4.8,0.94,0,0,0,24.59, NASDAQ Capital,2/15/2018,11:40:00
Art's Way Manufacturing, ARTW,2.45,2.55,2.45,2.55,-0.1,-3.81,4054,4.15,2,0.1,3.92,0,-14.54, NASDAQ Capital,2/15/2018,11:40:00
Stellar Acquisition III WT, STLRW,0.51,0.51,0.49,0.5,-0.02,-3.83,2500,0.64,0.12,0,0,0,61.21, NASDAQ Capital,2/15/2018,11:40:00
NexPoint Residential Trust, NXRT,24.05,24.05,23.04,23.4,-0.94,-3.86,155029,29.4,22.28,1,4.27,8.7,-16.25, NYSE,2/15/2018,11:40:00
NQ Mobile ADR, NQ,2.28,2.34,2.14,2.22,-0.09,-3.9,1526359,4.68,1.58,0,0,0,-44.78, NYSE,2/15/2018,11:40:00
Aptose Biosciences, APTO,2.75,2.79,2.7,2.7,-0.11,-3.91,202334,3.9,0.78,0,0,0,20.54, NASDAQ Capital,2/15/2018,11:40:00
Wilhelmina International, WHLM,5.88,5.88,5.83,5.84,-0.24,-3.95,598,8.73,5.58,0,0,0,-9.74, NASDAQ Capital,2/15/2018,11:40:00
