Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange
Innoviva, INVA, 15.03, 15.19, 14.53, 14.59, -0.44, -2.93, 955894, 16.11, 10.47, 0.0, 0.0, 15.86, 2.82, NASDAQ Global
Black Knight, BKI, 49.85, 50.6, 49.0, 49.5, -1.5, -2.94, 1031568, 53.0, 41.1, 0.0, 0.0, 73.88, 12.12, NYSE
Hudson Technologies, HDSN, 6.49, 6.52, 6.22, 6.28, -0.19, -2.94, 383229, 10.4, 5.4, 0.0, 0.0, 19.03, 3.46, NASDAQ Capital
Lipocine, LPCN, 1.37, 1.37, 1.32, 1.32, -0.04, -2.94, 160315, 5.33, 1.26, 0.0, 0.0, 0.0, -61.63, NASDAQ Capital
Air Industries Group, AIRI, 1.42, 1.42, 1.31, 1.32, -0.04, -2.94, 50769, 4.6, 1.15, 0.6, 45.45, 0.0, -21.89, NYSE American
China Pharma Holdings, CPHI, 0.34, 0.35, 0.33, 0.33, -0.01, -2.94, 345609, 1.45, 0.15, 0.0, 0.0, 0.0, 87.93, NYSE American
Abercrombie&Fitch, ANF, 21.46, 21.57, 20.22, 20.71, -0.63, -2.95, 1947307, 23.53, 8.81, 0.8, 3.86, 0.0, 18.82, NYSE
Independence Contract Drilling, ICD, 4.77, 4.83, 4.58, 4.6, -0.14, -2.95, 113166, 6.45, 2.72, 0.0, 0.0, 0.0, 15.58, NYSE
New Home, NWHM, 12.36, 12.48, 11.81, 11.85, -0.36, -2.95, 88791, 13.55, 9.75, 0.0, 0.0, 12.09, -5.43, NYSE
Galectin Therapeutics, GALT, 4.83, 4.99, 4.59, 4.61, -0.14, -2.95, 504496, 6.74, 0.97, 0.0, 0.0, 0.0, 38.02, NASDAQ Capital
Steel Dynamics, STLD, 46.82, 47.35, 45.11, 45.4, -1.38, -2.95, 2652274, 48.28, 32.15, 0.62, 1.37, 13.47, 5.26, NASDAQ Global
Huntington Ingalls Industries, HII, 246.2, 246.2, 237.4, 237.54, -7.25, -2.96, 476915, 253.44, 183.42, 2.88, 1.21, 17.94, 0.78, NYSE
Payment Data Systems, PYDS, 2.04, 2.12, 1.9, 2.0, -0.06, -2.96, 174809, 4.1, 1.17, 0.0, 0.0, 0.0, -20.99, NASDAQ Capital
GEE Group, JOB, 3.0, 3.01, 2.95, 2.95, -0.09, -2.96, 6476, 7.0, 2.45, 0.0, 0.0, 0.0, 6.12, NYSE American
Five Oaks Investment, OAKS, 3.36, 3.36, 3.24, 3.27, -0.1, -2.97, 210670, 5.61, 3.02, 0.4, 12.22, 8.18, -18.25, NYSE
Datawatch, DWCH, 11.85, 11.85, 11.0, 11.45, -0.35, -2.97, 146263, 12.65, 6.7, 0.0, 0.0, 0.0, 20.53, NASDAQ Capital
DMC Global, BOOM, 23.65, 24.0, 22.7, 22.9, -0.7, -2.97, 56320, 26.15, 11.6, 0.08, 0.35, 0.0, -8.58, NASDAQ Global
Dr. Reddy's Laboratories ADR, RDY, 35.2, 35.23, 34.33, 34.46, -1.06, -2.98, 442757, 46.95, 29.83, 0.31, 0.91, 37.57, -8.25, NYSE
Johnson&Johnson, JNJ, 142.57, 142.57, 138.1, 138.19, -4.24, -2.98, 12628510, 148.32, 112.47, 3.36, 2.43, 354.33, -1.1, NYSE
NextDecade, NEXT, 7.15, 7.25, 6.81, 6.83, -0.21, -2.98, 9776, 10.99, 5.54, 0.0, 0.0, 0.0, -17.91, NASDAQ Capital
FTD Cos., FTD, 6.01, 6.1, 5.81, 5.86, -0.18, -2.98, 257653, 24.85, 5.81, 0.0, 0.0, 0.0, -18.5, NASDAQ Global
Supernus Pharmaceuticals, SUPN, 40.5, 41.05, 38.4, 39.05, -1.2, -2.98, 793016, 50.05, 24.05, 0.0, 0.0, 36.21, -2.01, NASDAQ Global
Align Technology, ALGN, 261.01, 270.6, 248.21, 262.0, -8.08, -2.99, 3998880, 287.32, 92.61, 0.0, 0.0, 92.25, 17.92, NASDAQ Global
Silver Run Acquisition II Un, SRUNU, 11.6, 11.6, 10.73, 11.0, -0.34, -3.0, 243936, 12.89, 10.2, 0.0, 0.0, 0.0, 5.16, NASDAQ Capital
